time,n1,n2,n3,n4,n5,n6,n7
1,23.8,30.6,55.2,37.9,34.5,34.7,23.8
2,23.8,30.6,55.5,37.8,34.5,34.7,23.8
3,23.7,30.6,55.5,37.8,34.5,34.7,23.8
4,23.7,30.6,55.5,37.8,34.5,34.7,23.8
5,23.6,30.6,55.5,37.8,34.5,34.7,23.8
6,23.6,30.6,55.5,37.8,34.6,34.7,23.8
7,23.6,30.6,55.5,37.8,34.5,34.7,23.8
8,23.6,30.7,55.5,37.8,34.6,34.7,23.8
9,23.6,30.6,55.7,37.8,34.6,34.7,23.8
10,23.6,30.6,55.6,37.8,34.6,34.8,23.8
11,23.6,30.7,55.7,37.8,34.7,34.7,23.9
12,23.5,30.6,55.6,37.8,34.5,34.7,23.8
13,23.6,30.6,55.5,37.8,34.7,34.7,23.8
14,23.6,30.6,55.7,37.8,34.7,34.7,23.8
15,23.6,30.6,55.7,37.8,34.7,34.7,23.8
16,23.5,30.7,55.9,37.9,34.7,34.7,23.8
17,23.6,30.6,56,37.9,34.7,34.7,23.8
18,23.6,30.7,56.1,38,34.7,34.7,23.8
19,23.6,30.7,56.1,38,34.7,34.7,23.8
20,23.5,30.7,56.2,38,34.7,34.7,23.8
21,23.7,30.8,56.2,38.1,34.7,34.7,23.8
22,23.6,30.8,56.6,38.1,34.7,34.7,23.8
23,23.8,30.8,56.8,38.2,34.7,34.8,23.9
24,23.8,30.9,56.8,38.3,34.7,34.8,23.8
25,23.8,30.8,56.9,38.3,34.7,34.8,23.8
26,23.8,30.9,56.9,38.3,34.7,34.8,23.9
27,23.8,30.9,57.1,38.3,34.7,34.8,23.9
28,23.8,30.9,57.4,38.4,34.7,34.8,23.8
29,23.8,31,57.5,38.5,34.7,34.9,23.9
30,23.8,31,57.7,38.5,34.7,34.9,23.8
31,23.8,31,57.5,38.5,34.7,34.8,23.8
32,23.8,31,57.8,38.6,34.7,34.8,23.8
33,23.8,31,58.1,38.6,34.7,34.9,23.8
34,23.8,31,58.2,38.6,34.7,34.9,23.8
35,23.9,31,58.4,38.6,34.7,34.9,23.8
