Week,Motors,PCBs
3/03/2020,135,241
10/03/2020,122.4418605,225.1860465
17/03/2020,109.8837209,209.372093
24/03/2020,97.3255814,193.5581395
31/03/2020,84.76744186,177.744186
7/04/2020,72.20930233,161.9302326
14/04/2020,59.65116279,146.1162791
21/04/2020,47.09302326,130.3023256
28/04/2020,45.93023256,126.3488372
5/05/2020,44.76744186,122.3953488
12/05/2020,43.60465116,118.4418605
19/05/2020,42.44186047,114.4883721
26/05/2020,41.27906977,110.5348837
2/06/2020,40.11627907,106.5813953
9/06/2020,38.95348837,102.627907
16/06/2020,37.79069767,98.6744186
23/06/2020,36.62790698,94.72093023
30/06/2020,35.46511628,90.76744186
7/07/2020,34.30232558,86.81395349
14/07/2020,33.13953488,82.86046512
21/07/2020,31.97674419,78.90697674
28/07/2020,30.81395349,74.95348837
4/08/2020,29.65116279,71
11/08/2020,28.48837209,67.04651163
18/08/2020,27.3255814,63.09302326
25/08/2020,26.1627907,59.13953488
1/09/2020,25,55.18604651
8/09/2020,23.8372093,51.23255814
15/09/2020,22.6744186,47.27906977
22/09/2020,21.51162791,43.3255814
29/09/2020,20.34883721,39.37209302
6/10/2020,19.18604651,35.41860465
13/10/2020,18.02325581,31.46511628
20/10/2020,16.86046512,27.51162791
27/10/2020,15.69767442,23.55813953
3/11/2020,14.53488372,19.60465116
10/11/2020,13.37209302,15.65116279
17/11/2020,12.20930233,11.69767442
24/11/2020,11.04651163,7.744186047
1/12/2020,9.88372093,3.790697674
8/12/2020,8.720930233,-0.162790698
15/12/2020,7.558139535,-4.11627907
22/12/2020,6.395348837,-8.069767442
29/12/2020,5.23255814,0
5/01/2021,4.069767442,0
12/01/2021,2.906976744,0
19/01/2021,1.744186047,0
26/01/2021,0.581395349,0
2/02/2021,-0.581395349,0
9/02/2021,-1.744186047,0
16/02/2021,-2.906976744,0
23/02/2021,-4.069767442,0
