Time,Motors,PCBs
1,135,241
2,122.4418605,225.1860465
3,109.8837209,209.372093
4,97.3255814,193.5581395
5,84.76744186,177.744186
6,72.20930233,161.9302326
7,59.65116279,146.1162791
8,47.09302326,130.3023256
9,45.93023256,126.3488372
10,44.76744186,122.3953488
11,43.60465116,118.4418605
12,42.44186047,114.4883721
13,41.27906977,110.5348837
14,40.11627907,106.5813953
15,38.95348837,102.627907
16,37.79069767,98.6744186
17,36.62790698,94.72093023
18,35.46511628,90.76744186
19,34.30232558,86.81395349
20,33.13953488,82.86046512
21,31.97674419,78.90697674
22,30.81395349,74.95348837
23,29.65116279,71
24,28.48837209,67.04651163
25,27.3255814,63.09302326
26,26.1627907,59.13953488
27,25,55.18604651
28,23.8372093,51.23255814
29,22.6744186,47.27906977
30,21.51162791,43.3255814
31,20.34883721,39.37209302
32,19.18604651,35.41860465
33,18.02325581,31.46511628
34,16.86046512,27.51162791
35,15.69767442,23.55813953
36,14.53488372,19.60465116
37,13.37209302,15.65116279
38,12.20930233,11.69767442
39,11.04651163,7.744186047
40,9.88372093,3.790697674
41,8.720930233,-0.162790698
42,7.558139535,-4.11627907
43,6.395348837,-8.069767442
44,5.23255814,0
45,4.069767442,0
46,2.906976744,0
47,1.744186047,0
48,0.581395349,0
49,-0.581395349,0
50,-1.744186047,0
51,-2.906976744,0
52,-4.069767442,0
